,job_title,company,job_search,location,date_range,link
41,Entry level Java Programmer /data analyst /Data scientist/ remote,SynergisticIT,Data Analyst,"Torrance, CA",today,//www.monster.com/job-openings/entry-level-java-programmer-data-analyst-data-scientist-remote-torrance-ca--e1619c03-7065-4d23-ad79-19e2bc145093?sid=413011e2-19b5-49ab-8dd7-4f953664e62a&jvo=m.go.s-svr.75&so=m.h.s&hidesmr=1
42,Field Systems IT Engineer,New England Network Solutions,Data ScientistData Engineer,"Boston, MABoston, MA",todaytoday,//www.monster.com/job-openings/field-systems-it-engineer-boston-ma--f4c1bf80-9c73-4fe1-93db-cad33f893897?sid=217abd70-69f5-49c9-84fc-02cd5a09bfcc&jvo=m.go.s-svr.73&so=m.h.s&hidesmr=1//www.monster.com/job-openings/field-systems-it-engineer-boston-ma--f4c1bf80-9c73-4fe1-93db-cad33f893897?sid=09b6864d-28e8-4f44-b2d0-b6590a978070&jvo=m.go.s-svr.69&so=m.h.s&hidesmr=1
43,Full Stack Developer,Kforce Technology,Data ScientistData Engineer,"Atlanta, GAAtlanta, GA",todaytoday,//www.monster.com/job-openings/full-stack-developer-atlanta-ga--cfaa7b99-1142-4d60-a699-411be48aacbf?sid=217abd70-69f5-49c9-84fc-02cd5a09bfcc&jvo=m.undefined.s-svr.20&so=m.h.s&hidesmr=1&promoted=KEVEL//www.monster.com/job-openings/full-stack-developer-atlanta-ga--cfaa7b99-1142-4d60-a699-411be48aacbf?sid=09b6864d-28e8-4f44-b2d0-b6590a978070&jvo=m.undefined.s-svr.15&so=m.h.s&hidesmr=1&promoted=KEVEL
44,Full Stack Software Engineer,Motion Recruitment,Data ScientistData Engineer,"Washington, DCWashington, DC",todaytoday,//www.monster.com/job-openings/full-stack-software-engineer-washington-dc--0e598e79-ee3c-4264-a0c1-fdcf8c86ed8e?sid=217abd70-69f5-49c9-84fc-02cd5a09bfcc&jvo=m.undefined.s-svr.12&so=m.h.s&hidesmr=1&promoted=KEVEL//www.monster.com/job-openings/full-stack-software-engineer-washington-dc--0e598e79-ee3c-4264-a0c1-fdcf8c86ed8e?sid=09b6864d-28e8-4f44-b2d0-b6590a978070&jvo=m.undefined.s-svr.9&so=m.h.s&hidesmr=1&promoted=KEVEL
45,Head of Procurement Innovation and Data,MassMutual,Data AnalystData AnalystData AnalystData Analyst,"Boston, MAHartford, CTSpringfield, MAWorcester, MA",todaytodaytodaytoday,//www.monster.com/job-openings/head-of-procurement-innovation-and-data-boston-ma--beaff24a-057f-4c6e-82af-349a463be8c6?sid=413011e2-19b5-49ab-8dd7-4f953664e62a&jvo=m.undefined.s-svr.8&so=m.h.s&hidesmr=1&promoted=KEVEL//www.monster.com/job-openings/head-of-procurement-innovation-and-data-hartford-ct--aee168cc-24ad-45a1-8ac8-360c2afe317d?sid=413011e2-19b5-49ab-8dd7-4f953664e62a&jvo=m.undefined.s-svr.17&so=m.h.s&hidesmr=1&promoted=KEVEL//www.monster.com/job-openings/head-of-procurement-innovation-and-data-springfield-ma--5eb319cd-6488-4cab-a030-a4f4dff130ee?sid=413011e2-19b5-49ab-8dd7-4f953664e62a&jvo=m.undefined.s-svr.18&so=m.h.s&hidesmr=1&promoted=KEVEL//www.monster.com/job-openings/head-of-procurement-innovation-and-data-worcester-ma--4540d7da-148f-4c9b-bbd6-cbdd8cfdcb7a?sid=413011e2-19b5-49ab-8dd7-4f953664e62a&jvo=m.undefined.s-svr.19&so=m.h.s&hidesmr=1&promoted=KEVEL
46,Health Information Management Coder Lead,CHRISTUS Health,Data Analyst,"Irving, TX",today,//www.monster.com/job-openings/health-information-management-coder-lead-irving-tx--09ed6153-af11-4c37-8738-7204dd34cea5?sid=413011e2-19b5-49ab-8dd7-4f953664e62a&jvo=m.undefined.s-svr.20&so=m.h.s&hidesmr=1&promoted=KEVEL
47,IT Engineer,INSPYR Solutions,Data ScientistData Engineer,"Vienna, VAVienna, VA",todaytoday,//www.monster.com/job-openings/it-engineer-vienna-va--a90a61dd-055c-4cde-aec4-e18623831523?sid=217abd70-69f5-49c9-84fc-02cd5a09bfcc&jvo=m.go.s-svr.86&so=m.h.s&hidesmr=1//www.monster.com/job-openings/it-engineer-vienna-va--a90a61dd-055c-4cde-aec4-e18623831523?sid=09b6864d-28e8-4f44-b2d0-b6590a978070&jvo=m.go.s-svr.81&so=m.h.s&hidesmr=1
48,IT Help Desk Analyst II - 3rd shift weeknights,Genesis Corp./New Journey AI LLC,Data Analyst,"Eagan, MN",today,//www.monster.com/job-openings/it-help-desk-analyst-ii-3rd-shift-weeknights-eagan-mn--4f9d4055-48c1-4ef8-8309-186a4d0175a7?sid=413011e2-19b5-49ab-8dd7-4f953664e62a&jvo=m.go.s-svr.55&so=m.h.s&hidesmr=1
49,IT Systems Center Analyst,The Kroger Co.,Data Analyst,"Blue Ash, OH",today,//www.monster.com/job-openings/it-systems-center-analyst-blue-ash-oh--3e49cef1-eb11-410f-86dd-44b2646c241a?sid=413011e2-19b5-49ab-8dd7-4f953664e62a&jvo=m.go.s-svr.68&so=m.h.s&hidesmr=1
50,Java Developer.......Remote (W2 candidate only),Vaco Technology,Data ScientistData Engineer,"New York, NYNew York, NY",todaytoday,//www.monster.com/job-openings/java-developer-remote-w2-candidate-only-new-york-city-ny--a0a3c4fc-df90-4181-9a76-651872b7d3d7?sid=217abd70-69f5-49c9-84fc-02cd5a09bfcc&jvo=m.go.s-svr.71&so=m.h.s&hidesmr=1//www.monster.com/job-openings/java-developer-remote-w2-candidate-only-new-york-city-ny--a0a3c4fc-df90-4181-9a76-651872b7d3d7?sid=09b6864d-28e8-4f44-b2d0-b6590a978070&jvo=m.go.s-svr.67&so=m.h.s&hidesmr=1
